Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
1445;710146812;08/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;182;R$ 196,56
1518;710146681;08/09/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;28;R$ 177,52
1393;503790930;03/09/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
1019;503784233;02/09/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;26;R$ 164,06
L056;710150364;09/09/2026;Faturamento Manual;4277207;PASSATEMPO BISC RECH CHOC/MRG 130G;66;R$ 160,38
5350;710102647;01/09/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;28;R$ 158,20
L153;710151104;09/09/2026;Faturamento Manual;4311428;BATATA PRINGLES CHEDDAR E BACON 105G;17;R$ 156,74
5011;503708610;19/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
L056;710154404;09/09/2026;Faturamento Manual;4327814;NESCAFE CAPPUCCINO CLAS PRO-ENERGY 270ML;18;R$ 152,99
L056;710154404;09/09/2026;Faturamento Manual;4321738;BEB L NUTREN PROTEIN BAUNILHA 260ML;18;R$ 152,82
1004;503826537;10/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L123;503829654;10/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L432;710150399;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
5347;710146250;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L123;710150373;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
1419;710146783;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
1041;710126039;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L443;710146784;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
1141;710118812;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L141;710126053;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L580;503824733;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L141;710118599;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
L439;710146205;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
1130;710146441;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
5215;710146248;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
5444;710146788;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
1198;503823262;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
1518;710146249;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
1501;503818730;09/09/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
1584;503821675;09/09/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
1583;503810411;07/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
1126;710146434;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
5274;503785037;02/09/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
5284;503778295;01/09/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
1079;710146530;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
1413;710146787;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
L056;710154404;09/09/2026;Faturamento Manual;4314586;BEB LACT MOCHA STARBUCKS FRAP 280ML;18;R$ 148,14
L056;710154404;09/09/2026;Faturamento Manual;4309059;BATATA PRINGLES ORIGINAL 104G;15;R$ 138,30
5215;710146248;08/09/2026;Faturamento Manual;4315023;SALG TRIGO STIKSY 160G ELMA CHIPS M;21;R$ 133,14
5486;710146703;08/09/2026;Faturamento Manual;4315023;SALG TRIGO STIKSY 160G ELMA CHIPS M;21;R$ 133,14
1518;710146249;08/09/2026;Faturamento Manual;4315023;SALG TRIGO STIKSY 160G ELMA CHIPS M;21;R$ 133,14
1459;710147020;08/09/2026;Faturamento Manual;4315023;SALG TRIGO STIKSY 160G ELMA CHIPS M;21;R$ 133,14
5011;503708608;19/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;25;R$ 129,50
5486;710146703;08/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;25;R$ 122,75
L141;710102456;01/09/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;18;R$ 120,78
L056;710154404;09/09/2026;Faturamento Manual;4311309;BEB LACTEA NESCAFE CAP CANELA 270ML;18;R$ 116,99
5397;710126058;04/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;104;R$ 112,32
